"row_id","result"
1,"78"
2,""
3,""
4,"215"
5,"94"
6,"179"
7,"171,267"
8,"13,15,51,130"
9,"76,207"
10,"52,115,155,184,252"
11,"0,32,34,36,55,106,154,197,199,243"
12,"232,240,253"
13,"33,125,275"
14,"25,90,123,140,160,221,233,253"
15,"10,207,217"
16,"14,35,103,140"
17,"16,157,170,215"
18,""
19,"49,51,53,62,65,70,76,88,98,100,127,129,132,135,138,140,144,154,156,178,201,229,267,276"
20,"1,20,29,54,57,71,79,112,127,150,202,214,249,283"
21,"80,196,242"
22,""
23,"202,204,214"
24,"62,118"
25,"216"
26,"33,150,237,265"
27,"49,92,115,118,137,146,208"
28,"4,43,62,205"
29,"54,105,218,227,245,250"
30,"17,116,180,190"
31,"125,221,233"
32,"34,35,124,128,206,213,223,268"
33,"21,195,202,204,223"
34,"15,211,217"
35,"10,67,217"
36,"54,72,161,202"
37,"140"
38,"188"
39,"2,12,13,42,51,76,140,171,268"
40,"10,14,22,41,51,54,123,138,166,220,224,255"
41,"55,187"
42,"18,222,227,237,261"
43,"123,207,217,265"
44,"61,163,281"
45,"1,10,116,177,213,252,282"
46,"1,33,51,111,143,167,210,213,286"
47,"2,21,47,144,166,251"
48,"53,94,169,222,260"
