"row_id","result"
1,"78"
2,"225"
3,"156"
4,"215"
5,"94"
6,"179"
7,"171,189,267"
8,"13,15,51,130,209"
9,"76,207"
10,"115,184,266"
11,"104"
12,"185"
13,"125"
14,"1,81,101"
15,"10,35,125,147,191,281"
16,"10,35,125,147,191,217,281"
17,"16,112,170,215,263,276"
18,"37,45,91,128"
19,"76"
20,"54,103"
21,"168,242"
22,"74,198,230"
23,"149"
24,"118"
25,""
26,"205"
27,"42,129"
28,"62,145"
29,"234"
30,"110,112,180,190,205"
31,""
32,"76,213"
33,"86"
34,""
35,"217,245,255"
36,"72,276"
37,"140"
38,"188"
39,""
40,"49,50,197,235"
41,""
42,""
43,"37,59,275"
44,"88,142,169"
45,"89"
46,"286"
47,"10,22,251"
48,"169"
